"","Year","CPI","Core_CPI"
"792","2023-12-01",3.4,3.9
"793","2024-01-01",3.1,3.9
"794","2024-02-01",3.2,3.8
"795","2024-03-01",3.5,3.8
"796","2024-03-01",3.5,3.8
"1","2024-03-01",3.5,3.8
